iter	Logloss
0	0.6650532949
1	0.6350694323
2	0.6117494044
3	0.5871990939
4	0.566238198
5	0.5448227408
6	0.5266254511
7	0.5069520411
8	0.4886654157
9	0.4716229768
10	0.4580291064
11	0.4438836752
12	0.4283641319
13	0.4159650452
14	0.4011477894
15	0.3898195002
16	0.3779368037
17	0.366606927
18	0.3561664119
19	0.3477592708
20	0.3396437299
21	0.3306046148
22	0.3229256258
23	0.3130589507
24	0.306155026
25	0.2992121812
26	0.2930887949
27	0.2880859922
28	0.2822125217
29	0.2777722551
30	0.2725361503
31	0.266695168
32	0.2614913051
33	0.2565806299
34	0.252396191
35	0.247534426
36	0.2433325524
37	0.2377987986
38	0.2329297532
39	0.2293698572
40	0.2264037402
41	0.2233901499
42	0.2200186554
43	0.2168913837
44	0.2130850069
45	0.2099956974
46	0.2060706716
47	0.2026973297
48	0.2000909506
49	0.1973217609
50	0.1943986696
51	0.1921149557
52	0.1899074674
53	0.1877476303
54	0.1857722398
55	0.1835136379
56	0.1815624836
57	0.178935358
58	0.1770837211
59	0.1748863323
60	0.1729629311
61	0.1705705993
62	0.1686215525
63	0.1666316695
64	0.1646459331
65	0.1624120054
66	0.1607519039
67	0.1590911318
68	0.1573864308
69	0.1560607636
70	0.1543190174
71	0.1525949521
72	0.1505542293
73	0.1486887158
74	0.1474509201
75	0.1458218835
76	0.1441103264
77	0.1431536619
78	0.1418731963
79	0.1406797127
80	0.139411112
81	0.1379502643
82	0.1367086641
83	0.1354908486
84	0.1346565418
85	0.1336305901
86	0.1326900739
87	0.1317091048
88	0.1307647979
89	0.1297484804
90	0.1287948951
91	0.1279343541
92	0.1267799138
93	0.1261106756
94	0.1252718938
95	0.1241236939
96	0.1233613976
97	0.1224924404
98	0.1216987781
99	0.1209102887
100	0.1200767483
101	0.1192168779
102	0.1184239819
103	0.1178574635
104	0.117027399
105	0.1164430901
106	0.1156334847
107	0.1149153089
108	0.114333908
109	0.1135671504
110	0.1126691468
111	0.1118901616
112	0.1111546264
113	0.1100776091
114	0.1095243856
115	0.1089661876
116	0.1084345386
117	0.1079034369
118	0.1070890076
119	0.1065603008
120	0.1060462438
121	0.105375993
122	0.1048763258
123	0.1041595664
124	0.1037575076
125	0.1032696643
126	0.102743585
127	0.1019610076
128	0.101610336
129	0.1011629661
130	0.1007522788
131	0.1001892979
132	0.09954429592
133	0.09902317748
134	0.09861466617
135	0.09818707795
136	0.09757803331
137	0.0968898414
138	0.09633753481
139	0.09595685882
140	0.09559790094
141	0.09514299059
142	0.09456614678
143	0.09422031283
144	0.09371664962
145	0.09331807363
146	0.09304388756
147	0.09274528743
148	0.09234155219
149	0.09193830276
150	0.09164295966
151	0.09132727379
152	0.09085679674
153	0.09044504208
154	0.09002971564
155	0.08976924879
156	0.08924838353
157	0.08895083714
158	0.08855325331
159	0.08821292757
160	0.08793802988
161	0.08759111481
162	0.08702909872
163	0.08672280076
164	0.0864676916
165	0.08624268262
166	0.08586882176
167	0.08557978061
168	0.08527822452
169	0.08495388972
170	0.08456771235
171	0.08424836574
172	0.08390062272
173	0.08356253449
174	0.08323131613
175	0.08295049967
176	0.08256051102
177	0.08221885784
178	0.08178032161
179	0.08144785107
180	0.08109972488
181	0.08061068411
182	0.08022715479
183	0.07977920327
184	0.07944600742
185	0.07911587018
186	0.0788198702
187	0.07857458003
188	0.07825998896
189	0.07801126386
190	0.07775057805
191	0.07735843402
192	0.07713152967
193	0.07684696351
194	0.07653837332
195	0.07620975511
196	0.07589108591
197	0.07568682341
198	0.07545809211
